,Index,Heading,Questions,Answers,URLs
0,0,Land Transaction Tax,Who has to pay," You must pay LTT if you buy a property or land over a certain price threshold in Wales. The threshold is where the tax starts to apply. 
 The current LTT threshold is: 
 
 £225,000 for residential properties (if you do not own other property) 
 £225,000 for non-residential(https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide) land and property 
 
 Based on the  LTT rates and bands(https://www.gov.wales/land-transaction-tax-rates-and-bands)  set by the Welsh Government. 
 There are different rules if you already own one or more residential properties, and you may need to pay the higher residential rates. However, if you’re replacing your main residence, the higher rates may not apply. See our  guide to higher rates(https://www.gov.wales/higher-rates-land-transaction-tax-guide) . 
 You pay the tax(https://www.gov.wales/pay-land-transaction-tax) when you: 
 
 buy a freehold property 
 buy a new or existing leasehold 
 are transferred land or property in exchange for payment, for example, you take on a mortgage or buy a share in a house 
 
 LTT is a self-assessed tax. It’s the responsibility of the taxpayer to complete and submit an accurate tax return and pay any tax due. 
 
 You must send a LTT return even if there’s nothing to pay, except for certain  transactions that do not need a return(https://gov.wales/land-transaction-tax-guide#5041) . 
 ",https://www.gov.wales/land-transaction-tax-guide
1,1,Land Transaction Tax,How much you pay," How much you pay(#5037) depends on if the property is residential or  non-residential(https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide) . 
 You can use our  tax calculator(https://www.gov.wales/land-transaction-tax-calculator)  to help you work out how much you’ll pay. 
 The amount you pay might be affected if you’re buying: 
 
 a property when you already own one 
 more than one property 
 cross-border property 
 
 You can use our checker to  find out if a postcode is located in Wales for Land Transaction Tax(https://www.gov.wales/find-out-if-postcode-wales-land-transaction-tax)(#content) . 
 Reliefs 
 In certain cases, you may be able to get a relief that reduces the amount of tax you pay. A solicitor or conveyancer can help you claim any relief you’re eligible for. 
 There’s no first-time buyers’ relief in Wales. 
 There are specific reliefs for: 
 
 buying more than one property ( multiple dwellings(https://www.gov.wales/land-transaction-tax-relief-multiple-dwellings-guide) ) 
 moving property around a group structure 
 charities buying property 
 
 For a full list, refer to our  technical guidance on reliefs(https://gov.wales/land-transaction-tax-professionals#Reliefs) . 
 ",https://www.gov.wales/land-transaction-tax-guide
2,2,Land Transaction Tax,How and when to file a return and pay," From 3 July 2023, if you’re a solicitor or conveyancer, you’ll only be able to  file LTT online(https://www.gov.wales/file-land-transaction-tax) . 
 If you’re a taxpayer without a solicitor or conveyancer, you’ll need to  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us)  for a paper LTT return after 3 July 2023. 
 
 You must send a LTT return to the WRA and pay the tax(https://www.gov.wales/pay-land-transaction-tax) within 30 days of the day after completion (or other ‘effective date’ of the transaction). 
 You’ll still need to send a return even if you do not owe any LTT unless a specific  exception(/land-transaction-tax-guide#5041)  applies. 
 If you have a solicitor or conveyancer, you can ask them to file your return online and pay the tax(https://www.gov.wales/pay-land-transaction-tax) on your behalf. They’ll usually add the amount to the sum you pay them. 
 If you do not use a solicitor or conveyancer, you’ll need to file a paper return and  pay the tax(https://www.gov.wales/pay-land-transaction-tax)  yourself. 
 For a paper return, email  contact@wra.gov.wales(mailto:contact@wra.gov.wales)  or use other ways to  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)(https://www.gov.wales/welsh-revenue-authority/contact-us) . To send the correct forms, let us know if there are: 
 
 more than 2 buyers 
 more than 2 sellers 
 more than one piece of land 
 
 Please give your language preference when you contact. 
 Using email to correspond about tax(https://www.gov.wales/welsh-revenue-authority-using-email-correspond-about-tax) 
 
 You may be charged  penalties and interest(https://www.gov.wales/ltt-ldt-tax-penalties-guide)  if you do not file your return and make payment on time. 
 ",https://www.gov.wales/land-transaction-tax-guide
3,3,Land Transaction Tax,When you do not need to file a return," You do not have to file a return and pay LTT if: 
 
 property is left to you in a will and you do not make any payment for the transfer of it 
 property is transferred due to divorce or dissolution of a civil partnership 
 you buy a freehold property for less than £40,000 
 
 For leasehold transactions, you do not have to file and pay LTT if you buy: 
 
 a new or assigned lease of 7 years or more, as long as both:
	 
 the premium is less than £40,000 
 the annual rent is less than £1,000 
 
 
 a new or assigned lease of less than 7 years, as long as the amount you pay is less than the residential or non-residential(https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide) LTT zero rate threshold 
 
 ",https://www.gov.wales/land-transaction-tax-guide
4,4,Land Transaction Tax,More information," For complex cases, or if you’re uncertain how the tax applies: 
 
 you may want to check with a solicitor or conveyancer 
 use our  guidance for tax professionals(https://www.gov.wales/land-transaction-tax-professionals) 
 
 ",https://www.gov.wales/land-transaction-tax-guide
5,5,Calculate Land Transaction Tax, ," Use this calculator to help you work out how much Land Transaction Tax (LTT) you may need to pay if you buy property or land in Wales. 
 For residential property, you’ll need to know if main rates or  higher rates(https://www.gov.wales/higher-rates-land-transaction-tax-guide)  of LTT apply. 
 This calculator works for most transactions. 
 You may need different calculations for claiming  specific tax reliefs(/land-transaction-tax-guide#5037) . For example, buying more than one property ( multiple dwellings(https://www.gov.wales/land-transaction-tax-relief-multiple-dwellings-guide) ). 
 For more complex cases, or if you're uncertain how the tax applies: 
 
 you may want to check with a solicitor or conveyancer 
 use our  guidance for tax professionals(https://www.gov.wales/land-transaction-tax-professionals) 
 
 ",https://www.gov.wales/land-transaction-tax-calculator
6,6,Calculate Land Transaction Tax, ," Using browsers for Welsh Revenue Authority(https://www.gov.wales/welsh-revenue-authority)(https://www.gov.wales/welsh-revenue-authority) online services(https://www.gov.wales/using-browsers-welsh-revenue-authority-online-services) 
 ",https://www.gov.wales/land-transaction-tax-calculator
7,7,Calculate Land Transaction Tax,BUTTON LINK,Start now (https://services.wra.gov.wales/land-transaction-tax-calculator),https://www.gov.wales/land-transaction-tax-calculator
8,8,Pay Land Transaction Tax,When to pay," Once a tax return is submitted, the taxpayer or a solicitor or conveyancer on their behalf needs to pay any tax due. LTT is a self-assessed tax. It's the responsibility of the taxpayer to complete and submit an accurate tax return and pay any tax due. You must pay within 30 days from the day after the effective date of transaction. The effective date is usually the completion date. 
 
 Full payment must be received by the due date, or you may be charged  penalties and interest(https://www.gov.wales/ltt-ldt-tax-penalties-guide) . 
 ",https://www.gov.wales/pay-land-transaction-tax
9,9,Pay Land Transaction Tax,How to pay," If you file LTT online Once you’ve submitted a return, you need to arrange payment of the tax due. When you pay, use the 12-digit Unique Transaction Reference Number (UTRN) from your online account as the payment reference. You should: check the payment is the exact amount shown as due on the tax return make a separate payment for each return You should not round up or down to the nearest £. If you’re submitting a paper return You’ll need to  calculate the tax(https://www.gov.wales/land-transaction-tax-calculator)  to fill in your paper return and make payment. You’ll not have a UTRN until your paper return is submitted and manually processed. Use one of the following for your payment reference: postcode of the land\surname of the buyer postcode of the land\buyer’s organisation name For example, CF379EH\Bloggs If you get a penalty Use the UTRN on the penalty notice when making payments. 
 ",https://www.gov.wales/pay-land-transaction-tax
